node_id,type,name,topic,group_id,disabled,wired_inputs,wired_outputs,x,y
6f4423c1a841e1d0,mqtt in,cmnd/tasmota_F294D7/TEMPTARGETSET,cmnd/tasmota_F294D7/TEMPTARGETSET,,False,0,1,210,4660
b48573a35c749d95,ui_slider,topic,topic,48196d137af1665e,False,1,1,730,4660
20b9defaf96a4368,light-scheduler,bathroom thermostat timer,,,True,1,1,160,4720
bb4c520aea6a0ce0,change,change,,,False,1,1,480,4720
32b91d408bec92d0,mqtt out,cmnd/tasmota_F294D7/TEMPTARGETSET,cmnd/tasmota_F294D7/TEMPTARGETSET,,False,3,0,1010,4720
64a70a959c5a5b96,mqtt in,emon/TermostatMainBathroom/Switch,emon/TermostatMainBathroom/Switch,,False,0,1,190,4780
ea021744c6694724,change,change,,,False,1,1,480,4780
bb426f0e6391e527,ui_switch,topic,topic,48196d137af1665e,False,1,0,730,4780
5187804ab84b3d3e,comment,Bagno Servizio,,,False,0,0,120,4900
bce4805d1ff68a2e,ui_switch,Acceso,topic,945edaef9a208643,True,0,1,700,4920
0a00c1b4d8e1e3b1,mqtt out,cmnd/SmallBathroomThermostat/THERMOSTATMODESET,cmnd/SmallBathroomThermostat/THERMOSTATMODESET,,False,1,0,1020,4920
1ecc2374fb50c3c8,mqtt in,emon/bagnoServizio/temperature,emon/bagnoServizio/temperature,,False,0,1,170,4960
310e4d7ecb47f945,function,function,,,False,1,1,460,4960
9aed7fe92d283193,ui_gauge,°C,,945edaef9a208643,False,1,0,690,4960
0299dab27d7f86b5,mqtt in,cmnd/SmallBathroomThermostat/TEMPTARGETSET,cmnd/SmallBathroomThermostat/TEMPTARGETSET,,False,0,1,230,5000
3e61d0cfe952044f,ui_slider,topic,topic,945edaef9a208643,False,1,1,690,5000
58751d9fae3db0b1,mqtt out,cmnd/SmallBathroomThermostat/TEMPTARGETSET,cmnd/SmallBathroomThermostat/TEMPTARGETSET,,False,2,0,1020,5000
1dbc672f4ae32fae,light-scheduler,bagno servizio thermostat timer,,,True,0,1,210,5060
51b60e3776e614f3,change,change,,,False,1,1,480,5060
