id,type,tab,name,disabled,topic,qos,retain,broker_name,broker_host,broker_port,outputs,wire_targets
8022e945f076fa2f,mqtt in,Android APP Bridge,8022e945f076fa2f,false,emon/focolare/powerraw,2,,emoncms mqtt,192.168.1.15,1883,,funzione_ponte_caminetto
5d2d6ba3ad4c3262,mqtt in,Android APP Bridge,5d2d6ba3ad4c3262,false,zara/domotics/lights/readinglight,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
2b99835ee36a758d,mqtt out,Android APP Bridge,2b99835ee36a758d,false,zara/domotics/time_range,,true,domopi mqtt,192.168.1.20,1883,,
ab8e8c591cefc337,function,Android APP Bridge,Configurazione Sottoscrizione Dinamica,false,,,,,,,1,42c039cfb62a43a2
a0d11861533edef2,link in,Android APP Bridge,app_base_topic,false,,,,,,,,ab8e8c591cefc337
59b830f96fe6bb19,mqtt in,Android APP Bridge,59b830f96fe6bb19,false,,2,,domopi mqtt,192.168.1.20,1883,,c8bcd6a16c1bb598
c8bcd6a16c1bb598,function,Android APP Bridge,Query Storico 7gg,false,,,,,,,1,6067fbe89079d1b4
6067fbe89079d1b4,mysql,Android APP Bridge,MariaDB domotica ZaraDomotica / ZaraDomotica,false,,,,,,,,47032d1afbd3badf
47032d1afbd3badf,function,Android APP Bridge,Formatta Response App,false,,,,,,,1,302a2960a9fdf64f
bb9aca93c54b36f1,function,Android APP Bridge,function 33,false,,,,,,,1,59b830f96fe6bb19
df37ade7eb3a3f9e,link in,Android APP Bridge,storico 7gg,false,,,,,,,,bb9aca93c54b36f1
302a2960a9fdf64f,mqtt out,Android APP Bridge,302a2960a9fdf64f,false,,1,false,domopi mqtt,192.168.1.20,1883,,
3ed6302a.5af928,mqtt-broker,,domopi mqtt,false,,,,,,,,
cfd9898e.1367b8,mqtt-broker,,emoncms mqtt,false,,,,,,,,
77e574ef.c0b7ec,MySQLdatabase,,77e574ef.c0b7ec,false,,,,,,,,
0228110d0c8583f2,global-config,,0228110d0c8583f2,false,,,,,,,,
