flow,node_id,node_type,node_name,topic_literal
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/shelflamp
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/tvlamp
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zigbee2mqtt/Luce_Cucina
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zigbee2mqtt/Luce_Libreria
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/acsPufferTemp
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/energy/battery
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/energy/consumption
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/energy/grid
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/energy/production
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/energy/surplus
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/pufferAltoTemp
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,${APP_BASE}/pufferBassoTemp
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,TeslaPowerwall/SOE
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,TeslaPowerwall/load_instant_power
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,TeslaPowerwall/site_instant_power
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,TeslaPowerwall/solar_instant_power
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,emon/resolDL2/sensor2
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,emon/resolDL2/sensor3
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,emon/shellyACS/tempACS
Android APP Bridge,966f722b97b6dfd5,function,Gateway Energia,zara/android/domotica
Android APP Bridge,bd8d66b09aae991f,function,Inbound Router Termostati,zara/android/domotica
Android APP Bridge,bd8d66b09aae991f,function,Inbound Router Termostati,zara/domotics/AC/command
Android APP Bridge,bd8d66b09aae991f,function,Inbound Router Termostati,zigbee2mqtt/Termostato_Bagnetto/set
Android APP Bridge,bd8d66b09aae991f,function,Inbound Router Termostati,zigbee2mqtt/Termostato_Bagno/set
Android APP Bridge,fc51aac30db89430,function,Outbound Router Termostati,${baseTopic}/thermostat/${targetRoom}/target/state
Android APP Bridge,fc51aac30db89430,function,Outbound Router Termostati,casa/clima/stato_completo
Android APP Bridge,fc51aac30db89430,function,Outbound Router Termostati,zara/android/domotica
Android APP Bridge,fc51aac30db89430,function,Outbound Router Termostati,zigbee2mqtt/Termostato_Bagnetto
Android APP Bridge,fc51aac30db89430,function,Outbound Router Termostati,zigbee2mqtt/Termostato_Bagno
Android APP Bridge,893cab22b022f9f7,function,Inbound Router VMC,/esp8266/brink/fanspeed
Android APP Bridge,893cab22b022f9f7,function,Inbound Router VMC,zara/android/domotica
Android APP Bridge,cb6b6b6eff77245e,function,Outbound Router VMC,${baseTopic}/vmc/speed/state
Android APP Bridge,cb6b6b6eff77245e,function,Outbound Router VMC,alexa/vmc
Android APP Bridge,cb6b6b6eff77245e,function,Outbound Router VMC,casa/clima/stato_completo
Android APP Bridge,cb6b6b6eff77245e,function,Outbound Router VMC,zara/android/domotica
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/humBedroom
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/humLiving
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/humOutdoor
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/humidexBedroom
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/humidexLiving
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/tempBedroom
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/tempLiving
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,${APP_BASE}/env/tempOutdoor
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,emon/cameraMatrimoniale/humidex
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,emon/cameraMatrimoniale/humidity
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,emon/cameraMatrimoniale/temperature
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,emon/emonth5/humidex
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,emon/emonth5/humidity
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,emon/emonth5/temperature_calibrated
Android APP Bridge,84374abab73c53ba,function,Gateway Ambienti,zara/android/domotica
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/system/ac_auto/set
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/system/enabled/state
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/system/holiday/set
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/system/luci_eco/set
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/system/luci_piscina_auto/set
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/system/sensore_portico/set
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/system/time_range/set
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,${baseTopic}/vmc/maxNightSpeed/state
Android APP Bridge,01283d5864cde9b4,function,Inbound Router Settaggi,zara/android/domotica
Android APP Bridge,ef9798fe30ae6866,function,App Main Router,/maxNightSpeed/set
Android APP Bridge,ef9798fe30ae6866,function,App Main Router,zara/android/domotica
Android APP Bridge,ad2a868186bbe8b6,function,function 29,zara/android/domotica
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/system/ac_auto/state
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/system/holiday/state
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/system/luci_eco/state
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/system/luci_piscina_auto/state
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/system/sensore_portico/state
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/system/set
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/system/time_range/state
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,${baseTopic}/vmc/maxNightSpeed/set
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,casa/clima/cmnd/AI_climate_enabling
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,casa/clima/stat/vmc_max_notte
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,zara/android/domotica
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,zara/domotics/ACAuto
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,zara/domotics/luciECO
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,zara/domotics/luciPiscinaAuto
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,zara/domotics/modalitavacanza
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,zara/domotics/porch_sensor
Android APP Bridge,cf899af1e8162086,function,Outbound Router Settaggi,zara/domotics/time_range
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,${baseTopic}/casa/stufa/stat/acceso
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,${baseTopic}/casa/stufa/stat/modalita
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,${baseTopic}/casa/stufa/stat/potenza
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,/esp8266/palazzetti
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,/log/message
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,alexa/caminetto
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,alexa/caminetto/command
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,alexa/caminetto/power
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,emon/focolare/powerraw
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,zara/android/domotica
Android APP Bridge,funzione_ponte_caminetto,function,Ponte Traduttore Caminetto,zara/domotics/palazzetti/set/modalita
Android APP Bridge,ab8e8c591cefc337,function,Configurazione Sottoscrizione Dinamica,zara/android/domotica
Android APP Bridge,47032d1afbd3badf,function,Formatta Response App,${baseTopic}/history/ac/response
Android APP Bridge,47032d1afbd3badf,function,Formatta Response App,zara/android/domotica
Android APP Bridge,bb9aca93c54b36f1,function,function 33,/history/ac/request
Android APP Bridge,bb9aca93c54b36f1,function,function 33,zara/android/domotica
Dashboard Android App,4ca047bf.0cd01,function,,emon/emontx3/power1
Dashboard Android App,4ca047bf.0cd01,function,,emon/emontx3/power2
Dashboard Android App,30d8f988.be5cde,function,,emon/cameraMatrimoniale/humidity
Dashboard Android App,30d8f988.be5cde,function,,emon/cameraMatrimoniale/temperature
Dashboard Android App,30d8f988.be5cde,function,,emon/emonth5/humidity
Dashboard Android App,30d8f988.be5cde,function,,emon/emonth5/temperature_calibrated
Dashboard Android App,38ad1f4937437ea3,function,function 23,casa/cameraMatrimoniale/humidex
Dashboard Android App,38ad1f4937437ea3,function,function 23,casa/stanza1/humidex
Dashboard Android App,38ad1f4937437ea3,function,function 23,emon/cameraMatrimoniale/humidity
Dashboard Android App,38ad1f4937437ea3,function,function 23,emon/cameraMatrimoniale/temperature
Dashboard Android App,38ad1f4937437ea3,function,function 23,emon/emonth5/humidity
Dashboard Android App,38ad1f4937437ea3,function,function 23,emon/emonth5/temperature_calibrated
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,${baseTopic}/casa/clima/stato_completo
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,/esp8266/brink/fanspeed
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,Europe/Rome
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,N/A
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/SOE
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/load_instant_power
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,TeslaPowerwall/solar_instant_power
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,broadlink/cmd
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,casa/clima/log_eventi
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,casa/clima/stato_completo
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,emon/AC/emeter_power
AI climate,61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,emon/cameraMatrimoniale/temperature
